X,Species,Family,Order,Habitat.tiering,Motility,Feeding.mode,Mode.of.life,Ecology.reference,iucn,risk
1208,Manis pentadactyla,Manidae,Pholidota,4,1,1,411,"Wilson DE. 2011. Handbook of the Mammals of the World. Vol.2 Hooved Mammals. Lynx Edicions, Barcelona.",CR,1
1218,Microtus pinetorum,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Case Western Reserve University",LC,0
1219,Mus caroli,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Marshall, J. T. 1977. A synopsis of Asian species of Mus (Rodentia, Muridae). Bulletin of the AMNH; v. 158, article 3.",LC,0
1220,Mus cervicolor,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Marshall, J. T. 1977. A synopsis of Asian species of Mus (Rodentia, Muridae). Bulletin of the AMNH; v. 158, article 3.",LC,0
1221,Mus cookii,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Marshall, J. T. 1977. A synopsis of Asian species of Mus (Rodentia, Muridae). Bulletin of the AMNH; v. 158, article 3.",LC,0
1222,Mus indutus,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Skinner, J. D., Chimimba, C. T. 2005. The Mammals of Southern African Subregion. Cambridge University Press, Cape Town, South Africa. ",LC,0
1223,Mus minutoides,Muridae,Rodentia,4,1,1,311,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Skinner, J. D., Chimimba, C. T. 2005. The Mammals of Southern African Subregion. Cambridge University Press, Cape Town, South Africa.;Marshall, J. T. 1977. A synopsis of Asian species of Mus (Rodentia, Muridae). Bulletin of the AMNH; v. 158, article 3.",LC,0
1224,Mus musculus,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1226,Oxymycterus angularis,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1227,Oxymycterus delator,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1228,Oxymycterus hiska,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1229,Oxymycterus hispidus,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1230,Oxymycterus hucucha,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",EN,1
1232,Oxymycterus inca,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1233,Oxymycterus nasutus,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1234,Oxymycterus paramensis,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1235,Oxymycterus roberti,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1236,Oxymycterus rufus,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.",LC,0
1237,Pachyuromys duprasi,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ.",LC,0
1238,Parahydromys asper,Muridae,Rodentia,4,1,1,411,"Alderton, D. 1996. Rodents of the world. Facts on File, INC., NY, USA.; Flannery T. 1995. Mammals of New Guinea. Cornell University Press, Ithaca, NY.",LC,0
1239,Rattus norvegicus,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Long JL. 2003. Introduced Mammals of the World, Their history, distribution, and influence. CSIRO Publishing, Collingwood VIC, Australia. ; Nowak RM. 1999. Walker’s Mammals of the World, Vol. 2. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
1240,Uranomys ruddi,Muridae,Rodentia,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Skinner, J. D., Chimimba, C. T. 2005. The Mammals of Southern African Subregion. Cambridge University Press, Cape Town, South Africa. ",LC,0
1241,Arctonyx collaris,Mustelidae,Carnivora,4,1,1,411,"Burton, M., Burton R. 1975. Encyclopedia of Mammals. Octopus Books Limited, London W1",VU,1
1242,Conepatus chinga,Mustelidae,Carnivora,4,1,1,411,"Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
1243,Conepatus humboldtii,Mustelidae,Carnivora,4,1,1,411,"Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
1244,Galictis cuja,Mustelidae,Carnivora,4,1,1,411,"Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
1245,Galictis vittata,Mustelidae,Carnivora,4,1,1,411,"Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA.",LC,0
1246,Meles meles,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Burton, M., Burton R. 1975. Encyclopedia of Mammals. Octopus Books Limited, London W1",LC,0
1247,Melogale everetti,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",EN,1
1248,Melogale moschata,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",LC,0
1249,Melogale orientalis,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",LC,0
1250,Melogale personata,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",LC,0
1251,Mephitis macroura,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1252,Mephitis mephitis,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1253,Mustela altaica,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",NT,0
1255,Mustela lutreola,Mustelidae,Carnivora,4,1,1,413,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Long JL. 2003. Introduced Mammals of the World, Their history, distribution, and influence. CSIRO Publishing, Collingwood VIC, Australia.",CR,1
1256,Mustela lutreolina,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",LC,0
1257,Mustela putorius,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Long JL. 2003. Introduced Mammals of the World, Their history, distribution, and influence. CSIRO Publishing, Collingwood VIC, Australia.",LC,0
1258,Mustela sibirica,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Long JL. 2003. Introduced Mammals of the World, Their history, distribution, and influence. CSIRO Publishing, Collingwood VIC, Australia.",LC,0
1259,Mydaus javanensis,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1260,Mydaus marchei,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1261,Poecilogale albinucha,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1262,Spilogale putorius,Mustelidae,Carnivora,4,1,1,411,"Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ.",VU,1
1263,Spilogale pygmaea,Mustelidae,Carnivora,4,1,1,411,"Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ.",VU,1
1264,Taxidea taxus,Mustelidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. Burton, M., Burton R. 1975. Encyclopedia of Mammals. Octopus Books Limited, London W1.",LC,0
1266,Microperoryctes papuensis,Peroryctidae,Peramelemorphia,4,3,1,331,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",LC,0
1267,Procyon cancrivorus,Procyonidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Burton, M., Burton R. 1975. Encyclopedia of Mammals. Octopus Books Limited, London W1.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",LC,0
1268,Procyon lotor,Procyonidae,Carnivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA. ; Burton, M., Burton R. 1975. Encyclopedia of Mammals. Octopus Books Limited, London W1.; Macdonald, D. W. 2006. The Princeton Encyclopedia of Mammals. Princeton University Press, Princeton, NJ. ",LC,0
1269,Blarina brevicauda,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",LC,0
1270,Blarina carolinensis,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",LC,0
1271,Blarina hylophaga,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA., Nowak RM. 1999. Walker’s Mammals of the World, Vol. 1. Sixth Ed. The Johns Hopkins University Press, Maryland, USA. ",LC,0
1272,Crocidura aleksandrisi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1273,Crocidura allex,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",VU,1
1274,Crocidura andamanensis,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",CR,1
1275,Crocidura ansellorum,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",EN,1
1276,Crocidura arabica,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1278,Crocidura attenuata,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1279,Crocidura attila,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1280,Crocidura baileyi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1281,Crocidura batesi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1282,Crocidura beatus,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1283,Crocidura beccarii,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1285,Crocidura bottegoides,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",EN,1
1286,Crocidura buettikoferi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
1287,Crocidura caliginea,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1288,Crocidura canariensis,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",EN,1
1289,Crocidura cinderella,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1290,Crocidura congobelgica,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1292,Crocidura crenata,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1293,Crocidura crossei,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1294,Crocidura cyanea,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1295,Crocidura denti,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1296,Crocidura desperata,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",VU,1
1298,Crocidura dolichura,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1299,Crocidura douceti,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1300,Crocidura dsinezumi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1301,Crocidura eisentrauti,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",VU,1
1302,Crocidura elgonius,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1303,Crocidura elongata,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1306,Crocidura flavescens,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1308,Crocidura foxi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1309,Crocidura fuliginosa,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1310,Crocidura fulvastra,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1311,Crocidura fumosa,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1312,Crocidura fuscomurina,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1313,Crocidura glassi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
1314,Crocidura goliath,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1316,Crocidura grandiceps,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
1318,Crocidura grassei,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1319,Crocidura grayi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1320,Crocidura greenwoodi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1322,Crocidura harenna,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",CR,1
1323,Crocidura hildegardeae,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1324,Crocidura hirta,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1325,Crocidura hispida,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",VU,1
1328,Crocidura jacksoni,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1329,Crocidura jenkinsi,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",CR,1
1330,Crocidura kivuana,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",NT,0
1331,Crocidura lamottei,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1332,Crocidura lanosa,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",VU,1
1333,Crocidura lasiura,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
1334,Crocidura latona,Soricidae,Insectivora,4,1,1,411,"Hutchins M, Kleiman DG, Geist V, McDade MC. 2003. Grzimek’s Animal Life Encyclopedia Second Edition, Volume 12-16 Mammals I-V. Gale, Farmington Hills, MI, USA.",LC,0
