glottocode,name,isocodes,level,macroarea,latitude,longitude,Family_ID,Family_name
3adt1234,3Ad-Tekles,,dialect,Africa,,,afro1255,Afro-Asiatic
aala1237,Aalawa,,dialect,Papunesia,,,aust1307,Austronesian
aant1238,Aantantara,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
aari1239,Aari,aiw,language,Africa,5.95034,36.5721,sout2845,South Omotic
aari1240,Aariya,aay,language,Eurasia,,,book1242,Bookkeeping
aasa1238,Aasax,aas,language,Africa,-4.00679,36.8648,afro1255,Afro-Asiatic
aasd1234,Aasdring,,dialect,Eurasia,,,indo1319,Indo-European
aata1238,Aatasaara,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
abab1239,Ababda,,dialect,Africa,,,afro1255,Afro-Asiatic
abad1243,Abadani,,dialect,Eurasia,,,indo1319,Indo-European
abad1242,Abadei,,dialect,Eurasia,,,indo1319,Indo-European
abad1241,Abadi,kbt,language,Papunesia,-9.03389,146.992,aust1307,Austronesian
abad1240,Abadzex,,dialect,Eurasia,,,abkh1242,Abkhaz-Adyge
abag1245,Abaga,abg,language,Papunesia,-6.12028,145.665,nucl1709,Nuclear Trans New Guinea
abai1239,Abai,,dialect,Papunesia,,,aust1307,Austronesian
abai1240,Abai Sungai,abf,language,Papunesia,5.55394,118.306,aust1307,Austronesian
abai1241,Abai Tubu-Abai Sembuak,,language,Papunesia,3.524226,116.162455,aust1307,Austronesian
abaj1234,Abajeño Mexican Spanish,,dialect,Eurasia,,,indo1319,Indo-European
abak1242,Abak,,dialect,Africa,,,atla1278,Atlantic-Congo
abak1243,Abaka,,dialect,Papunesia,,,aust1307,Austronesian
abal1238,Abaletti,,dialect,Papunesia,,,yele1255,Yele
abam1239,Abam,,dialect,Papunesia,,,east2503,Eastern Trans-Fly
aban1243,Abancay,,dialect,South America,,,quec1387,Quechuan
aban1242,Abanyom,abm,language,Africa,6.30619,8.63055,atla1278,Atlantic-Congo
abar1239,Abar,,dialect,Africa,,,atla1278,Atlantic-Congo
abau1245,Abau,aau,language,Papunesia,-3.97222,141.324,sepi1257,Sepik
abaw1238,,,dialect,Africa,,,,
foau1240,Abawiri,flh,language,Papunesia,-3.04582,139.213,lake1255,Lakes Plain
abay1238,Abayongo,,dialect,Africa,,,atla1278,Atlantic-Congo
abaz1241,Abaza,abq,language,Eurasia,44.25,42,abkh1242,Abkhaz-Adyge
abbe1238,Abbey-Ve,,dialect,Africa,,,atla1278,Atlantic-Congo
abbr1238,Abbruzzesi,,dialect,Eurasia,,,indo1319,Indo-European
abch1234,Abchuya'i,,dialect,Eurasia,,,indo1319,Indo-European
abda1238,'Abd Al-Kuri,,dialect,Africa,12.1959,52.2282,afro1255,Afro-Asiatic
abee1242,Abé,aba,language,Africa,5.59682,-4.38497,atla1278,Atlantic-Congo
abee1243,Abe (Anyin),,dialect,Africa,,,atla1278,Atlantic-Congo
abed1238,Abedju-Azaki,,dialect,Africa,,,cent2225,Central Sudanic
aben1248,A'beng,,dialect,Eurasia,,,sino1245,Sino-Tibetan
aben1247,Abeng,,dialect,Eurasia,,,sino1245,Sino-Tibetan
aben1249,Abenlen Ayta,abp,language,Papunesia,15.4131,120.2,aust1307,Austronesian
abgu1238,Abgue,,dialect,Africa,,,afro1255,Afro-Asiatic
abid1235,Abidji,abi,language,Africa,5.65656,-4.58421,atla1278,Atlantic-Congo
abie1238,Abiem,,dialect,Africa,,,nilo1247,Nilotic
abig1238,Abigar,,dialect,Africa,,,nilo1247,Nilotic
abil1238,Abiliang,,dialect,Africa,,,nilo1247,Nilotic
abin1242,Abini,,dialect,Africa,,,atla1278,Atlantic-Congo
abin1243,Abinomn,bsa,language,Papunesia,-2.92281,138.891,,
abip1241,Abipon,axb,language,South America,-29,-61,guai1249,Guaicuruan
abka1238,Abkar,,dialect,Africa,,,maba1274,Maban
abkh1244,Abkhaz,abk,language,Eurasia,43.056218,41.159115,abkh1242,Abkhaz-Adyge
able1237,Ableg-Salegseg,,dialect,Papunesia,,,aust1307,Austronesian
aboo1242,Abo,,dialect,Africa,,,atla1278,Atlantic-Congo
aboo1241,Abo (Bokyi),,dialect,Africa,,,atla1278,Atlantic-Congo
abom1238,Abom,aob,language,Papunesia,-8.42448,142.842,anim1240,Anim
abon1238,Abon,abo,language,Africa,6.90621,10.8769,atla1278,Atlantic-Congo
abou1238,Abou Charib,,dialect,Africa,,,tama1329,Tamaic
abra1237,Abra-De-Ilog,,dialect,Papunesia,,,aust1307,Austronesian
abro1238,Abron,abr,language,Africa,7.72094,-2.50289,atla1278,Atlantic-Congo
abru1239,Abruzzese-Calabrian-Molisean Romani,,dialect,Eurasia,,,indo1319,Indo-European
absh1238,Absheron,,dialect,Eurasia,,,indo1319,Indo-European
abuu1241,Abu,ado,language,Papunesia,-4.24027,144.474,ramu1234,Ramu
abua1244,Abua,abn,language,Africa,4.83057,6.61492,atla1278,Atlantic-Congo
abua1245,Abu' Arapesh,aah,language,Papunesia,-3.461612,142.917031,nucl1708,Nuclear Torricelli
abui1241,Abui,abz,language,Papunesia,-8.31058,124.588,timo1261,Timor-Alor-Pantar
abuj1237,Abujmaria,,dialect,Eurasia,,,drav1251,Dravidian
abul1238,Abuldugu,,dialect,Africa,,,nilo1247,Nilotic
abun1252,Abun,kgr,language,Papunesia,-0.57073,132.416,,
abun1253,Abun Je,,dialect,Papunesia,,,abun1252,Abun
abun1255,Abun Ji,,dialect,Papunesia,,,abun1252,Abun
abun1254,Abun Tat,,dialect,Papunesia,,,abun1252,Abun
abur1243,Abure,abu,language,Africa,5.21534,-3.64123,atla1278,Atlantic-Congo
abur1244,Abureni,mgj,language,Africa,4.62301,6.50634,atla1278,Atlantic-Congo
abus1238,Abu Sinun,,dialect,Africa,,,kadu1256,Kadugli-Krongo
abuz1234,Abuzaydabadi,,dialect,Eurasia,,,indo1319,Indo-European
abya1234,Abyane'i,,dialect,Eurasia,,,indo1319,Indo-European
abzh1238,Abzhui,,dialect,Eurasia,,,abkh1242,Abkhaz-Adyge
acad1238,Acadian,,dialect,Eurasia,,,indo1319,Indo-European
acat1240,Acatepec,,dialect,North America,,,otom1299,Otomanguean
acat1239,Acatepec Me'phaa,tpx,language,North America,17.1034,-99.0602,otom1299,Otomanguean
acch1238,Acchami,,dialect,Eurasia,,,indo1319,Indo-European
achi1257,Acehnese,ace,language,Papunesia,3.90757,96.6032,aust1307,Austronesian
acha1250,Achagua,aca,language,South America,4.38649,-72.2005,araw1281,Arawakan
ache1244,Ache,yif,language,Eurasia,24.152,102.446,sino1245,Sino-Tibetan
ache1246,Aché,guq,language,South America,-25.5865,-56.4697,tupi1275,Tupian
ache1245,Acheron,acz,language,Africa,10.8827,30.3187,narr1279,Narrow Talodi
achi1256,Achi,acr,language,North America,15.073,-90.3513,maya1287,Mayan
achi1255,A'chick,,dialect,Eurasia,,,sino1245,Sino-Tibetan
achi1258,"Achi', Cubulco",acc,language,North America,,,book1242,Bookkeeping
achi1247,Achik,,dialect,Eurasia,,,sino1245,Sino-Tibetan
acht1238,Achterhoeks,act,dialect,Eurasia,52.021,6.47521,indo1319,Indo-European
acht1239,Achterveld,,dialect,Africa,,,tuuu1241,Tuu
achu1249,Achuar,,dialect,South America,,,jiva1245,Chicham
achu1248,Achuar-Shiwiar,acu,language,South America,-2.82646,-77.2641,jiva1245,Chicham
achu1247,Achumawi,acv,language,North America,41.0979,-121.191,pala1350,Palaihnihan
acii1238,Aci,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
acod1234,Acodi,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
acol1236,Acoli,ach,language,Africa,3.57738,32.5147,nilo1247,Nilotic
acom1246,Acoma Keres,,dialect,North America,,,kere1287,Keresan
acro1239,Acroá,acs,language,South America,-12.594,-40.21445,nucl1710,Nuclear-Macro-Je
acro1240,Acrolectal Fiji English,,dialect,Eurasia,,,indo1319,Indo-European
adaa1238,Ada,,dialect,Africa,,,atla1278,Atlantic-Congo
adab1235,Adabe,adb,language,Papunesia,-8.22674,125.576,book1242,Bookkeeping
adae1234,Adaeseño Spanish,,dialect,Eurasia,,,indo1319,Indo-European
adai1235,Adai,xad,language,North America,31.6314,-92.0059,,
adam1253,Adamawa Fulfulde,fub,language,Africa,8.140326,13.077338,atla1278,Atlantic-Congo
adam1238,Adamorobe Sign Language,ads,language,Africa,5.834,-0.151,sign1238,Sign Language
adan1249,Adan,,dialect,Africa,,,atla1278,Atlantic-Congo
adan1251,Adang,adn,language,Papunesia,-8.18958,124.448,timo1261,Timor-Alor-Pantar
adan1248,Adangbe,adq,language,Africa,6.50546,0.727155,atla1278,Atlantic-Congo
adan1250,Adang (Lundayeh),,dialect,Papunesia,,,aust1307,Austronesian
adan1247,Adangme,ada,language,Africa,5.9437,0.13243,atla1278,Atlantic-Congo
adap1234,Adap,adp,language,Eurasia,27.141,90.3369,book1242,Bookkeeping
adar1242,Adarawa,,dialect,Africa,,,afro1255,Afro-Asiatic
adas1235,Adasen,tiu,language,Papunesia,17.8187,120.905,aust1307,Austronesian
addi1234,Addis Ababa Ethiopian Sign Language,,dialect,Africa,,,sign1238,Sign Language
adel1244,Adele,ade,language,Africa,8.16975,0.619185,atla1278,Atlantic-Congo
aden1242,'Aden,,dialect,Eurasia,,,afro1255,Afro-Asiatic
aden1241,Adeni,,dialect,Eurasia,,,afro1255,Afro-Asiatic
ader1239,Aderawa,,dialect,Africa,,,afro1255,Afro-Asiatic
adew1237,Adewada,,dialect,Eurasia,,,drav1251,Dravidian
adga1237,Adgawan,,dialect,Papunesia,,,aust1307,Austronesian
adha1237,Adham,,dialect,Eurasia,,,aust1307,Austronesian
adha1238,Adhari,,language,Eurasia,40.05,48.06,indo1319,Indo-European
adho1243,Adhola,adh,language,Africa,0.73235,34.0341,nilo1247,Nilotic
adib1240,Adibom,,dialect,Africa,,,atla1278,Atlantic-Congo
adid1237,Adi Dravida,,dialect,Eurasia,,,drav1251,Dravidian
adie1238,Adie,,dialect,Africa,,,atla1278,Atlantic-Congo
adih1238,Adihup,,dialect,Papunesia,,,hata1242,Hatam-Mansim
adij1237,Adijaya,,dialect,Papunesia,,,aust1307,Austronesian
utno1237,Adilabad Gondi,wsg,language,Eurasia,18.75,80.2,drav1251,Dravidian
adim1238,Adim,,dialect,Africa,,,atla1278,Atlantic-Congo
adio1239,Adioukrou,adj,language,Africa,5.38228,-4.52522,atla1278,Atlantic-Congo
adiv1238,Adivasi Wagdi,,dialect,Eurasia,,,indo1319,Indo-European
adiw1235,Adiwasi Garasia,gas,language,Eurasia,24.0712,73.1426,indo1319,Indo-European
adiy1237,Adiya,,dialect,Eurasia,,,drav1251,Dravidian
adja1238,Adjabdurah,,dialect,Australia,,,pama1250,Pama-Nyungan
adju1239,Adjumani,,dialect,Africa,,,cent2225,Central Sudanic
adku1239,Adkuri,,dialect,Eurasia,,,indo1319,Indo-European
adny1235,Adnyamathanha,adt,language,Australia,-30.1451,138.671,pama1250,Pama-Nyungan
adoo1237,Ado,,dialect,Papunesia,,,aust1307,Austronesian
adom1238,Adoma,,dialect,Africa,,,atla1278,Atlantic-Congo
adon1237,Adonara,adr,language,Papunesia,-8.32027,123.159,aust1307,Austronesian
adoy1238,Adoyo,,dialect,Africa,,,nilo1247,Nilotic
aduu1238,Adu,,dialect,Papunesia,,,nort2923,North Halmahera
adug1238,Aduge,adu,language,Africa,7.64567,6.13085,book1242,Bookkeeping
adun1238,Adun,,dialect,Africa,,,atla1278,Atlantic-Congo
adur1234,Adurgari,,language,Eurasia,33.79,69.32,spee1234,Speech Register
adyg1241,West Circassian,ady,language,Eurasia,44,39.33,abkh1242,Abkhaz-Adyge
adze1240,Adzera,adz,language,Papunesia,-6.39394,146.294,aust1307,Austronesian
adze1241,Adzera (Retired),azr,language,,,,book1242,Bookkeeping
adzh1238,Adzhar,,dialect,Eurasia,,,kart1248,Kartvelian
aegi1237,Aegina,,dialect,Eurasia,,,indo1319,Indo-European
aeka1244,Aeka,aez,language,Papunesia,-8.855095,147.99477,nucl1709,Nuclear Trans New Guinea
aeky1238,Aekyom,awi,language,Papunesia,-5.88478,141.532,kamu1264,Kamula-Elevala
aeol1234,Aeolic,,dialect,Eurasia,,,indo1319,Indo-European
aequ1239,Aequian,,dialect,Eurasia,,,indo1319,Indo-European
aerr1238,Aer,aeq,language,Eurasia,25.254,69.029,indo1319,Indo-European
abis1238,Aewa,ash,language,South America,-1.284096,-75.084405,,
aewa1238,Aewa (Western Province),,dialect,Papunesia,,,anim1240,Anim
afaa1238,Afa,,dialect,Africa,,,atla1278,Atlantic-Congo
afad1236,Afade,aal,language,Africa,12.0551,14.6343,afro1255,Afro-Asiatic
afar1241,Afar,aar,language,Africa,12.2281,41.8083,afro1255,Afro-Asiatic
afas1238,Af-Ashraaf,,dialect,Africa,,,afro1255,Afro-Asiatic
affa1240,Affade,,dialect,Africa,,,afro1255,Afro-Asiatic
affi1239,Affiniam,,dialect,Africa,,,atla1278,Atlantic-Congo
afgh1241,Afghanistan Balochi,,dialect,Eurasia,,,indo1319,Indo-European
afgh1240,Afghanistan Gorbat,,language,Eurasia,,,mixe1287,Mixed Language
afgh1239,Afghan Sign Language,afg,language,Eurasia,34.434167,70.447778,sign1238,Sign Language
afhe1238,Af-Helledi,,dialect,Africa,,,afro1255,Afro-Asiatic
afik1238,Afikpo,,dialect,Africa,,,atla1278,Atlantic-Congo
afit1238,Afitti,aft,language,Africa,12.446,30.7611,nyim1244,Nyimang
afor1239,Afore,,dialect,Papunesia,,,koia1260,Koiarian
afri1276,African American Vernacular English,,dialect,Eurasia,,,indo1319,Indo-European
afri1271,Afridi,,dialect,Eurasia,,,indo1319,Indo-European
afri1275,Afrihili,afh,language,Africa,,,arti1236,Artificial Language
afri1274,Afrikaans,afr,language,Africa,-22,30,indo1319,Indo-European
afri1272,Afrike,,dialect,Africa,,,atla1278,Atlantic-Congo
afro1260,Afro-Bolivian Spanish,,dialect,Eurasia,,,indo1319,Indo-European
afro1254,Afro-Seminole Creole,afs,language,North America,31.784300000000002,-99.2934,indo1319,Indo-European
afsh1238,Afshari,,dialect,Eurasia,,,turk1311,Turkic
afsh1239,Afsharic,,dialect,Eurasia,,,turk1311,Turkic
afta1234,Aftari,,dialect,Eurasia,35.36,53.7,indo1319,Indo-European
afud1235,Afudu,,language,Africa,9.831149,11.296849,atla1278,Atlantic-Congo
agaa1241,Aga,,dialect,Eurasia,,,mong1349,Mongolic-Khitan
agal1241,Agalo,,dialect,Africa,,,gumu1250,Gumuz
agam1238,Agam,,dialect,Papunesia,,,aust1307,Austronesian
agan1234,Agan,,dialect,Eurasia,,,ural1272,Uralic
agan1235,Agan Nenets,,dialect,Eurasia,,,ural1272,Uralic
agar1249,Agar,,dialect,Africa,,,nilo1247,Nilotic
agar1252,Agarabi,agd,language,Papunesia,-6.20604,145.917,nucl1709,Nuclear Trans New Guinea
agar1250,Agari of Kolaba,,dialect,Eurasia,,,indo1319,Indo-European
agar1251,Agariya,agi,language,Eurasia,24.5024,82.297,unat1236,Unattested
agat1236,Agatu,agc,language,Africa,7.97915,7.71639,atla1278,Atlantic-Congo
agau1239,Agaunshe,,dialect,Africa,,,atla1278,Atlantic-Congo
agav1236,Agavotaguerra,avo,language,South America,-13.29849,-53.43936,unat1236,Unattested
agay1235,Agayop,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
agba1238,Agbarho,,dialect,Africa,,,atla1278,Atlantic-Congo
agbi1234,Agbirigba,,language,Africa,,,spee1234,Speech Register
agbo1241,Agbome,,dialect,Africa,,,atla1278,Atlantic-Congo
agbo1242,Agbon,,dialect,Africa,,,atla1278,Atlantic-Congo
agee1238,Ageer,,dialect,Africa,,,nilo1247,Nilotic
aghe1239,Aghem,agq,language,Africa,6.38956,10.0807,atla1278,Atlantic-Congo
agho1238,Agholo,,dialect,Africa,,,atla1278,Atlantic-Congo
aghu1255,Aghu,ahh,language,Papunesia,-6.34674,140.043,nucl1709,Nuclear Trans New Guinea
aghu1253,Aghul,agx,language,Eurasia,41.9242,47.5843,nakh1245,Nakh-Daghestanian
aghu1254,Aghu Tharnggalu,ggr,language,Australia,-13.735,142.426,pama1250,Pama-Nyungan
aghu1256,Aghu Tharnggalu (Retired),gtu,language,Australia,-15,144,book1242,Bookkeeping
aghw1237,Aghwan,xag,language,Eurasia,40.374444,47.126667,nakh1245,Nakh-Daghestanian
agii1245,Agi,aif,language,Papunesia,-3.49104,142.387,nucl1708,Nuclear Torricelli
agii1244,Agi (Moru),,dialect,Africa,,,cent2225,Central Sudanic
agob1245,Agöb,,dialect,Papunesia,,,paho1240,Pahoturi
agob1244,Agob-Ende-Kawam,kit,language,Papunesia,-9.08521,142.532,paho1240,Pahoturi
agoi1246,Robambami,ibm,language,Africa,5.87953,8.21629,atla1278,Atlantic-Congo
agoi1244,Agoi (Gen),,dialect,Africa,,,atla1278,Atlantic-Congo
agon1238,Agona,,dialect,Africa,,,atla1278,Atlantic-Congo
agra1238,Agrab,,dialect,Africa,,,afro1255,Afro-Asiatic
agta1234,Agta-Pahanan,apf,language,Papunesia,17.0538,122.2802,aust1307,Austronesian
aguu1241,Agu,,dialect,Eurasia,,,sino1245,Sino-Tibetan
agua1252,Aguacateco,agu,language,North America,15.3307,-91.3153,maya1287,Mayan
agua1251,Aguano,aga,language,South America,-5.25,-75.8333,unat1236,Unattested
agua1254,Aguarico,,dialect,South America,,,cofa1242,Cofán
agua1253,Aguaruna,agr,language,South America,-5.30044,-77.9218,jiva1245,Chicham
aguu1242,Agu (Ewe),,dialect,Africa,,,atla1278,Atlantic-Congo
aguf1237,Agufi,,dialect,Papunesia,,,aust1307,Austronesian
agul1244,Central Agul,,dialect,Eurasia,,,nakh1245,Nakh-Daghestanian
agul1243,Agulis,,dialect,Eurasia,,,indo1319,Indo-European
agul1245,Agulis-Meghri,,dialect,Eurasia,,,indo1319,Indo-European
agun1238,Aguna,aug,language,Africa,7.49256,1.74452,atla1278,Atlantic-Congo
aguo1238,Aguok,,dialect,Africa,,,nilo1247,Nilotic
agus1235,Agusan Manobo,msm,language,Papunesia,8.62731,125.742,aust1307,Austronesian
agut1237,Agutaynen,agn,language,Papunesia,10.5328,119.655,aust1307,Austronesian
agwa1247,Agwagwune,yay,language,Africa,5.81055,8.03166,atla1278,Atlantic-Congo
agwa1246,Agwatashi,,dialect,Africa,,,atla1278,Atlantic-Congo
ahaf1238,Ahafo,,dialect,Africa,,,atla1278,Atlantic-Congo
ahan1244,Àhàn,ahn,language,Africa,7.44139,6.00896,atla1278,Atlantic-Congo
ahan1243,Ahanta,aha,language,Africa,4.85147,-1.94657,atla1278,Atlantic-Congo
ahea1240,Ahe,ahe,language,,,,book1242,Bookkeeping
ahea1235,Aheave,,dialect,Papunesia,,,nucl1580,Eleman
ahei1238,Aheima,,dialect,Africa,,,narr1279,Narrow Talodi
aher1237,Aheri Gondi,esg,language,Eurasia,19.4163,80.0058,drav1251,Dravidian
ahin1234,Ahin-Kayapa Kalanguya,kak,language,Papunesia,16.321,120.90003,aust1307,Austronesian
ahir1243,Ahirani,ahr,language,Eurasia,21.552,73.685,book1242,Bookkeeping
ahir1242,Ahiri,,dialect,Eurasia,,,indo1319,Indo-European
ahom1240,Ahom,aho,language,Eurasia,27.2778,88.464,taik1256,Tai-Kadai
ahte1237,Ahtena,aht,language,North America,61.7068,-144.889,atha1245,Athabaskan-Eyak-Tlingit
ahua1238,Ahuatempan Popoloca,,dialect,North America,,,otom1299,Otomanguean
ahva1234,Ahvazi,,dialect,Eurasia,,,indo1319,Indo-European
ahwa1239,Ahwaz,,dialect,Eurasia,,,afro1255,Afro-Asiatic
aial1237,Ai'alu,,dialect,Papunesia,,,aust1307,Austronesian
aibo1237,Aibondeni,,dialect,Papunesia,,,aust1307,Austronesian
aich1238,Ai-Cham,aih,language,Eurasia,25.4908,107.844,taik1256,Tai-Kadai
aiew1238,Aiewomba,,dialect,Papunesia,,,anga1289,Angan
aigh1235,Aighon,aix,language,Papunesia,-5.99488,150.272,aust1307,Austronesian
aigo1239,Aigon,,dialect,Papunesia,,,aust1307,Austronesian
aigu1239,Aigun,,dialect,Eurasia,,,tung1282,Tungusic
aika1237,Aikanã,tba,language,South America,-12.6695,-60.5353,,
aikl1237,Aiklep,mwg,language,Papunesia,-6.23575,149.571,aust1307,Austronesian
aiko1237,Aikoa,,dialect,Papunesia,,,aust1307,Austronesian
aiku1240,Aiku,mzf,language,,,,book1242,Bookkeeping
aima1241,Aimaq,aiq,language,Eurasia,35.283,59.1756,indo1319,Indo-European
aima1242,Aimara,,dialect,Africa,,,kuna1268,Kunama
aime1238,Aimele,ail,language,Papunesia,-6.68656,142.656,bosa1245,Bosavi
aimo1244,Aimol,aim,language,Eurasia,24.6437,94.3556,sino1245,Sino-Tibetan
aimo1245,Aimoli,,dialect,Papunesia,,,timo1261,Timor-Alor-Pantar
ainb1238,Ainbai,aic,language,Papunesia,-3.09214,141.149,bord1247,Border
ainu1251,Ainu (China),aib,language,Eurasia,39.2714,76.4209,turk1311,Turkic
aiom1240,Aiome,aki,language,Papunesia,-5.13467,144.765,ramu1234,Ramu
airr1242,Air (Berber),,dialect,Africa,,,afro1255,Afro-Asiatic
aird1238,Aird Hills,,dialect,Papunesia,,,kibi1239,Kibiri
airm1241,Airmadidi,,dialect,Papunesia,,,aust1307,Austronesian
airm1240,Air Mata,,dialect,Papunesia,,,aust1307,Austronesian
airo1242,Airoran,air,language,Papunesia,-1.8522,138.158,kwer1242,Greater Kwerba
airy1239,Airym,,dialect,Eurasia,,,turk1311,Turkic
musa1266,Aisi,mmq,language,Papunesia,-5.37407,145.197,nucl1709,Nuclear Trans New Guinea
aita1238,Aita,,dialect,Papunesia,,,nort2933,North Bougainville
aito1238,Aiton,aio,language,Eurasia,26.5145,92.3169,taik1256,Tai-Kadai
aitu1237,Aitutaki,,dialect,Papunesia,,,aust1307,Austronesian
ayiw1239,Äiwoo,nfl,language,Papunesia,-10.282595,166.328715,aust1307,Austronesian
aiya1239,Aiyangar,,dialect,Eurasia,,,drav1251,Dravidian
aiya1240,Aiyar,,dialect,Eurasia,,,drav1251,Dravidian
aiye1242,||'Aiye,,dialect,Africa,,,khoe1240,Khoe-Kwadi
aiye1241,Aiyegunle,,dialect,Africa,,,atla1278,Atlantic-Congo
aizu1241,Aizu,,dialect,Eurasia,,,japo1237,Japonic
ajab1235,Aja (Benin),ajg,language,Africa,7.06634,1.64992,atla1278,Atlantic-Congo
ajam1240,Ajam,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
ajas1235,Aja (South Sudan),aja,language,Africa,8.58003,25.6122,kres1240,Kresh-Aja
ajaw1236,Ajawa,ajw,language,Africa,10.21,9.89205,afro1255,Afro-Asiatic
ajee1238,Aje,,dialect,Africa,,,atla1278,Atlantic-Congo
ajie1238,Ajië,aji,language,Papunesia,-21.3029,165.468,aust1307,Austronesian
ajir1238,Ajiri of Hazara,,dialect,Eurasia,,,indo1319,Indo-European
ajiw1238,Kebar,,dialect,Papunesia,,,mpur1239,Mpur
ajra1238,Ajra,,dialect,Africa,,,atla1278,Atlantic-Congo
ajug1238,Ajugu,,dialect,Africa,,,cent2225,Central Sudanic
ajuh1237,Ajuh,,dialect,Papunesia,,,aust1307,Austronesian
ajum1239,Ajumba,,dialect,Africa,,,atla1278,Atlantic-Congo
mbuu1238,Ajumbu,muc,language,Africa,6.53792,10.2556,atla1278,Atlantic-Congo
ajyi1238,Ajyíninka Apurucayali,cpc,language,South America,-9.82364,-74.61947,araw1281,Arawakan
akkk1240,Ak,akq,language,Papunesia,-3.57026,141.784,sepi1257,Sepik
akaa1242,Aka,soh,language,Africa,11.2101,33.6524,east2386,Eastern Jebel
akab1250,Akabafa,,dialect,Papunesia,,,koia1260,Koiarian
akab1249,Akabea,abj,language,Eurasia,12.3782,92.7818,grea1241,Great Andamanese
akab1248,Akabo,akm,language,Eurasia,12.3629,92.8011,grea1241,Great Andamanese
akac1240,Akacari,aci,language,Eurasia,13.49086,92.94855,grea1241,Great Andamanese
akaj1239,Akajeru,akj,language,Eurasia,13.1525,92.9504,grea1241,Great Andamanese
akak1252,Akakede,akx,language,Eurasia,12.8494,92.8227,grea1241,Great Andamanese
akak1253,Akakol,aky,language,Eurasia,12.73253,92.78661,grea1241,Great Andamanese
akak1251,Akakora,ack,language,Eurasia,12.0944,92.7466,grea1241,Great Andamanese
akal1238,Aka Lel,,dialect,Eurasia,,,sino1245,Sino-Tibetan
akam1238,Akamkpa-Ejagham,,dialect,Africa,,,atla1278,Atlantic-Congo
akan1250,Akan,aka,language,Africa,6.34756,-1.33254,atla1278,Atlantic-Congo
akan1248,Nuclear Nanai,,dialect,Eurasia,,,tung1282,Tungusic
akar1243,Akarbale,acl,language,Eurasia,12.6663,92.8278,grea1241,Great Andamanese
akar1244,Akarre,,dialect,Australia,,,pama1250,Pama-Nyungan
akas1242,Akaselem,aks,language,Africa,8.8858,1.37035,atla1278,Atlantic-Congo
akas1241,Akassa,,dialect,Africa,,,ijoi1239,Ijoid
west2635,Akateko,knj,language,North America,15.5932,-91.8421,maya1287,Mayan
akaw1241,Akawaio,,dialect,South America,,,cari1283,Cariban
akaw1239,Akawaio-Ingariko,ake,language,South America,6.16277,-60.862,cari1283,Cariban
akee1238,Akye,aik,language,Africa,8.59543,8.75768,atla1278,Atlantic-Congo
akeb1238,Akebu,keu,language,Africa,7.78365,0.77668,atla1278,Atlantic-Congo
akei1237,Akei,tsr,language,Papunesia,-15.6377,166.767,aust1307,Austronesian
akel1235,Akelel,,dialect,Africa,,,atla1278,Atlantic-Congo
aker1238,Akerre,,dialect,Australia,,,pama1250,Pama-Nyungan
akeu1235,Akeu,aeu,language,Eurasia,22.1959,101.0823,sino1245,Sino-Tibetan
akha1245,Akha,ahk,language,Eurasia,21.2309,100.964,sino1245,Sino-Tibetan
akhm1237,Akhmimic,,dialect,Africa,,,afro1255,Afro-Asiatic
akho1238,Akhoe,,dialect,Africa,,,khoe1240,Khoe-Kwadi
akht1238,Akhty,,dialect,Eurasia,,,nakh1245,Nakh-Daghestanian
akhv1239,Northern Akhvakh,akv,language,Eurasia,42.4003,46.3037,nakh1245,Nakh-Daghestanian
akii1238,Aki,,dialect,Papunesia,,,nucl1709,Nuclear Trans New Guinea
akib1234,Akiblik,,dialect,Papunesia,,,anem1249,Anem
mosi1247,Akie,mwy,language,Africa,-5.43471,37.1869,nilo1247,Nilotic
akim1239,Akimel O'odham,,dialect,North America,,,utoa1244,Uto-Aztecan
akit1240,Akita,,dialect,Eurasia,,,japo1237,Japonic
akka1240,Akkadian,akk,language,Eurasia,33.1,44.1,afro1255,Afro-Asiatic
akka1237,Akkala Saami,sia,language,Eurasia,67.8625,32.4046,ural1272,Uralic
akla1240,Aklanon,akl,language,Papunesia,11.55432,122.35413,aust1307,Austronesian
aknn1239,Akn,,dialect,Eurasia,,,indo1319,Indo-European
akoo1247,Ako,,dialect,Eurasia,,,sino1245,Sino-Tibetan
akoo1249,Ako (Atlantic-Congo),,dialect,Africa,,,atla1278,Atlantic-Congo
akoo1250,Ako (Indonesia),,dialect,Papunesia,,,aust1307,Austronesian
akol1237,Akolet,akt,language,Papunesia,-6.22711,150.182,aust1307,Austronesian
akon1238,Southeast Yoruba,,dialect,Africa,,,atla1278,Atlantic-Congo
akoo1248,Akoose,bss,language,Africa,4.9243,9.65522,atla1278,Atlantic-Congo
akoy1238,Akoye,miw,language,Papunesia,-7.66067,145.669,anga1289,Angan
akpa1238,Akpa,akf,language,Africa,7.32586,8.01629,atla1278,Atlantic-Congo
akpa1243,Akpafu,,dialect,Africa,,,atla1278,Atlantic-Congo
